"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Aug 13 11:51:44 IST 2020","Thu Jan 01 05:30:00 IST 1970","-1597299704192","","Chai assertions","","Chai assertions","Test webdriveruni login portal","Test webdriveruni login portal",""
"passed","Thu Aug 13 11:51:44 IST 2020","Thu Aug 13 11:51:54 IST 2020","10582","","Chai assertions","","Chai assertions","""before each"" hook for ""Test webdriveruni login portal""","""before each"" hook for ""Test webdriveruni login portal""",""
